,ACC,trial_id,Learning Method,training_size,partition_random_state,currerent_fold,data_percentage,batch_size,layer_model,lr,iter,total time (s),val_loss,train_acc,train_loss,time_this_iter_s,should_checkpoint,done,timesteps_total,episodes_total,experiment_id,date,timestamp,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,warmup_time,experiment_tag,config/args,config/lr,config/layer_index,config/model_name
1454,70.776008605957,f6f12_00000,TCL DLH,400,2,0,0.001823253778693,16,"[3, 'TCL']",0.097967242239482,10,5209.95949435234,14.6724331289196,50.2673797607422,0.697798611964771,523.510308265686,True,True,,,516ad400178f4a89b4a9e7515533ba5f,2023-04-30_18-25-49,1682904349,832,ip-172-31-20-21,172.31.20.21,5209.95949435234,0,10,0.003886699676514,"0_batch_size=16,currerent_fold=0,data_percentage=0.0018,layer_model=3_TCL,lr=0.0980,partition_random_state=2,training_size=400","Namespace(smoke_test=False, root_dir='/cascade_transfer_learning_medical/Breast_Histopathology_Images', network_address='/cascade_transfer_learning_medical/model/sourcemodel/SourceNetwork', save_folder=None, name='test_result', dataset='IDC', n_class=2, n_split=5, max_iter=10, print_freq=1000, n_gpu=1.0, num_worker=8, ray_address='auto')",0.097967242239482,3,TCL
1455,78.0978088378906,f6f12_00001,TCL DLH,400,0,3,0.001823253778693,8,"[4, 'TCL']",0.000356063835439,10,6301.98169922829,0.491279060854584,79.9522705078125,0.443200079239638,597.783554077148,True,True,,,87ccf85c7bf34230bd8111d20ec360f2,2023-04-30_18-53-33,1682906013,455,ip-172-31-17-230,172.31.17.230,6301.98169922829,0,10,0.00478458404541,"1_batch_size=8,currerent_fold=3,data_percentage=0.0018,layer_model=4_TCL,lr=0.0004,partition_random_state=0,training_size=400","Namespace(smoke_test=False, root_dir='/cascade_transfer_learning_medical/Breast_Histopathology_Images', network_address='/cascade_transfer_learning_medical/model/sourcemodel/SourceNetwork', save_folder=None, name='test_result', dataset='IDC', n_class=2, n_split=5, max_iter=10, print_freq=1000, n_gpu=1.0, num_worker=8, ray_address='auto')",0.000356063835439,4,TCL
1456,77.2212982177734,f6f12_00002,TCL DLH,400,0,3,0.001823253778693,16,"[5, 'TCL']",0.005379379502739,10,4293.48141241074,0.474169238226248,78.0429611206055,0.59585295770504,418.145376682282,True,True,,,2ae5d20311c0497881518de29a89fdf1,2023-04-30_18-20-04,1682904004,458,ip-172-31-29-67,172.31.29.67,4293.48141241074,0,10,0.004972457885742,"2_batch_size=16,currerent_fold=3,data_percentage=0.0018,layer_model=5_TCL,lr=0.0054,partition_random_state=0,training_size=400","Namespace(smoke_test=False, root_dir='/cascade_transfer_learning_medical/Breast_Histopathology_Images', network_address='/cascade_transfer_learning_medical/model/sourcemodel/SourceNetwork', save_folder=None, name='test_result', dataset='IDC', n_class=2, n_split=5, max_iter=10, print_freq=1000, n_gpu=1.0, num_worker=8, ray_address='auto')",0.005379379502739,5,TCL
1457,75.353874206543,f6f12_00003,TCL DLH,400,0,2,0.001823253778693,32,"[6, 'TCL']",0.000118693324143,10,4898.94616651535,0.518713266586695,84.3434371948242,0.371527322916069,491.867696523666,True,True,,,0113be4fcd4d4276bf238b4b7845826d,2023-04-30_18-30-11,1682904611,455,ip-172-31-28-134,172.31.28.134,4898.94616651535,0,10,0.004451274871826,"3_batch_size=32,currerent_fold=2,data_percentage=0.0018,layer_model=6_TCL,lr=0.0001,partition_random_state=0,training_size=400","Namespace(smoke_test=False, root_dir='/cascade_transfer_learning_medical/Breast_Histopathology_Images', network_address='/cascade_transfer_learning_medical/model/sourcemodel/SourceNetwork', save_folder=None, name='test_result', dataset='IDC', n_class=2, n_split=5, max_iter=10, print_freq=1000, n_gpu=1.0, num_worker=8, ray_address='auto')",0.000118693324143,6,TCL
1458,83.2419738769531,f6f12_00004,TCL DLH,600,1,4,0.00273488066804,32,"[3, 'TCL']",9.24124148754403E-05,10,3773.99464225769,0.39936369845722,86.8731536865234,0.317818899246092,380.795346260071,True,True,,,1e2ab2bb6e5d44ec80838e385a9df332,2023-04-30_18-11-30,1682903490,460,ip-172-31-23-30,172.31.23.30,3773.99464225769,0,10,0.004802703857422,"4_batch_size=32,currerent_fold=4,data_percentage=0.0027,layer_model=3_TCL,lr=0.0001,partition_random_state=1,training_size=600","Namespace(smoke_test=False, root_dir='/cascade_transfer_learning_medical/Breast_Histopathology_Images', network_address='/cascade_transfer_learning_medical/model/sourcemodel/SourceNetwork', save_folder=None, name='test_result', dataset='IDC', n_class=2, n_split=5, max_iter=10, print_freq=1000, n_gpu=1.0, num_worker=8, ray_address='auto')",9.24124148754403E-05,3,TCL
1459,73.7372741699219,f6f12_00005,TCL DLH,600,0,1,0.00273488066804,64,"[4, 'TCL']",0.037328093808904,10,5313.00296545029,0.674389494977922,73.2049026489258,0.652127384199988,509.850784063339,True,True,,,43cf0d5f64794c0187050edcc964f448,2023-04-30_18-37-08,1682905028,457,ip-172-31-22-10,172.31.22.10,5313.00296545029,0,10,0.004169702529907,"5_batch_size=64,currerent_fold=1,data_percentage=0.0027,layer_model=4_TCL,lr=0.0373,partition_random_state=0,training_size=600","Namespace(smoke_test=False, root_dir='/cascade_transfer_learning_medical/Breast_Histopathology_Images', network_address='/cascade_transfer_learning_medical/model/sourcemodel/SourceNetwork', save_folder=None, name='test_result', dataset='IDC', n_class=2, n_split=5, max_iter=10, print_freq=1000, n_gpu=1.0, num_worker=8, ray_address='auto')",0.037328093808904,4,TCL
1460,80.2916488647461,f6f12_00006,TCL DLH,600,2,4,0.00273488066804,64,"[5, 'TCL']",0.058162621013739,10,3611.81238174438,0.810308512139424,49.1150436401367,0.682330969863937,366.51422047615,True,True,,,6e907dfe75a0423ca82b69c9b114701f,2023-04-30_18-08-47,1682903327,457,ip-172-31-22-47,172.31.22.47,3611.81238174438,0,10,0.004614353179932,"6_batch_size=64,currerent_fold=4,data_percentage=0.0027,layer_model=5_TCL,lr=0.0582,partition_random_state=2,training_size=600","Namespace(smoke_test=False, root_dir='/cascade_transfer_learning_medical/Breast_Histopathology_Images', network_address='/cascade_transfer_learning_medical/model/sourcemodel/SourceNetwork', save_folder=None, name='test_result', dataset='IDC', n_class=2, n_split=5, max_iter=10, print_freq=1000, n_gpu=1.0, num_worker=8, ray_address='auto')",0.058162621013739,5,TCL
1461,67.1112365722656,f6f12_00007,TCL DLH,600,1,2,0.00273488066804,64,"[6, 'TCL']",0.00024221252264,10,5083.8861579895,0.743430351989327,88.0672302246094,0.291858574998479,504.327169179916,True,True,,,b796fb2bc4b8428ba8414d3fefbde397,2023-04-30_18-33-19,1682904799,457,ip-172-31-28-214,172.31.28.214,5083.8861579895,0,10,0.005823612213135,"7_batch_size=64,currerent_fold=2,data_percentage=0.0027,layer_model=6_TCL,lr=0.0002,partition_random_state=1,training_size=600","Namespace(smoke_test=False, root_dir='/cascade_transfer_learning_medical/Breast_Histopathology_Images', network_address='/cascade_transfer_learning_medical/model/sourcemodel/SourceNetwork', save_folder=None, name='test_result', dataset='IDC', n_class=2, n_split=5, max_iter=10, print_freq=1000, n_gpu=1.0, num_worker=8, ray_address='auto')",0.00024221252264,6,TCL
1462,71.7251739501953,f6f12_00008,TCL DLH,800,1,0,0.003646507557387,64,"[3, 'TCL']",0.000558543687145,10,5265.2000579834,0.558643702124903,83.3110885620117,0.386171698092778,535.697124481201,True,True,,,b710f0f21827456ab5a15861dffc786a,2023-04-30_19-36-40,1682908600,5110,ip-172-31-22-47,172.31.22.47,5265.2000579834,0,10,0.004005670547485,"8_batch_size=64,currerent_fold=0,data_percentage=0.0036,layer_model=3_TCL,lr=0.0006,partition_random_state=1,training_size=800","Namespace(smoke_test=False, root_dir='/cascade_transfer_learning_medical/Breast_Histopathology_Images', network_address='/cascade_transfer_learning_medical/model/sourcemodel/SourceNetwork', save_folder=None, name='test_result', dataset='IDC', n_class=2, n_split=5, max_iter=10, print_freq=1000, n_gpu=1.0, num_worker=8, ray_address='auto')",0.000558543687145,3,TCL
1463,58.3094100952148,f6f12_00009,TCL DLH,800,0,2,0.003646507557387,16,"[4, 'TCL']",0.011112464612275,10,5164.10411906242,0.690459898587993,76.2925567626953,0.561885916420069,520.276286125183,True,True,,,f2115ab8937f4753a4bfe744b570b672,2023-04-30_19-37-42,1682908662,5142,ip-172-31-23-30,172.31.23.30,5164.10411906242,0,10,0.005502223968506,"9_batch_size=16,currerent_fold=2,data_percentage=0.0036,layer_model=4_TCL,lr=0.0111,partition_random_state=0,training_size=800","Namespace(smoke_test=False, root_dir='/cascade_transfer_learning_medical/Breast_Histopathology_Images', network_address='/cascade_transfer_learning_medical/model/sourcemodel/SourceNetwork', save_folder=None, name='test_result', dataset='IDC', n_class=2, n_split=5, max_iter=10, print_freq=1000, n_gpu=1.0, num_worker=8, ray_address='auto')",0.011112464612275,4,TCL
